title,description,status,category,current,target,link
Marathon < 4,Run a marathon below 4 hours,completed,Running,3:25:00,4:00,https://my3.raceresult.com/387844/details0/certificate/2182/1%20Urkunden%20En%20Marathon
Marathon weight < 70kg, Reach a target weight of 70kg for the Düsseldorf marathon 26.04.26,completed,Weight,70,70
Half-Marathon < 1:45,Run a half-marathon below 1 hour 45 minutes,completed,Running,1:34:18,1:45,https://my4.raceresult.com/349227/details0/certificate/504/L%C3%A4ufer%20Brutto%2BNetto%20alle%20TN%20Netto-W
10km < 45,Run 10km below 45 minutes,not-started,Running,45:30,45:00,https://my2.raceresult.com/337357/certificate/4763/02-URKUNDE%7CUrkunde-Alle
5km < 21,Run 5km below 21 minutes,not-started,Running,22:03,21:00,https://www.strava.com/activities/16403437040
